end_rounds,n_players,result,winner,iter
16,3,set,A,1073
9,3,set,A,1074
1,3,tie,,1075
19,3,set,C,1076
1,3,tie,,1077
3,3,set,A,1078
12,3,set,B,1079
20,3,tie,,1080
10,3,set,A,1081
3,3,set,B,1082
9,3,tie,,1083
24,3,set,A,1084
30,3,set,B,1085
6,3,set,B,1086
4,3,set,C,1087
8,3,set,A,1088
11,3,set,B,1089
27,3,set,A,1090
8,3,set,C,1091
17,3,set,A,1092
13,3,tie,,1093
25,3,set,A,1094
6,3,set,C,1095
9,3,set,B,1096
3,3,tie,,1097
2,3,set,C,1098
12,3,set,A,1099
8,3,set,A,1100
3,3,set,B,1101
21,3,set,A,1102
5,3,set,B,1103
33,3,set,B,1104
1,3,tie,,1105
4,3,set,B,1106
9,3,set,B,1107
10,3,set,B,1108
10,3,set,B,1109
17,3,set,C,1110
9,3,set,C,1111
4,3,set,C,1112
21,3,set,B,1113
7,3,set,B,1114
6,3,set,C,1115
5,3,set,B,1116
6,3,set,C,1117
19,3,set,A,1118
9,3,set,B,1119
3,3,set,A,1120
39,3,set,A,1121
4,3,set,A,1122
19,3,set,C,1123
7,3,set,B,1124
1,3,tie,,1125
3,3,set,C,1126
13,3,set,A,1127
3,3,set,A,1128
19,3,set,C,1129
27,3,set,B,1130
23,3,set,C,1131
13,3,set,B,1132
15,3,set,C,1133
4,3,tie,,1134
8,3,set,C,1135
22,3,set,A,1136
9,3,set,C,1137
4,3,set,C,1138
3,3,set,A,1139
4,3,set,C,1140
6,3,set,A,1141
12,3,set,B,1142
18,3,set,B,1143
10,3,set,A,1144
26,3,set,C,1145
5,3,set,C,1146
15,3,set,C,1147
9,3,set,C,1148
15,3,set,C,1149
3,3,set,B,1150
2,3,set,A,1151
17,3,set,A,1152
24,3,set,A,1153
6,3,set,C,1154
10,3,set,B,1155
6,3,set,A,1156
9,3,set,B,1157
18,3,tie,,1158
16,3,set,C,1159
4,3,tie,,1160
14,3,set,A,1161
6,3,set,B,1162
12,3,set,A,1163
14,3,tie,,1164
8,3,set,A,1165
4,3,set,A,1166
6,3,set,C,1167
12,3,set,C,1168
15,3,set,C,1169
3,3,set,C,1170
13,3,set,A,1171
10,3,tie,,1172
3,3,set,A,1173
4,3,set,B,1174
5,3,set,C,1175
8,3,set,C,1176
16,3,set,A,1177
9,3,tie,,1178
7,3,set,B,1179
7,3,set,A,1180
20,3,set,B,1181
19,3,tie,,1182
15,3,set,B,1183
14,3,set,B,1184
12,3,set,C,1185
11,3,set,A,1186
9,3,tie,,1187
9,3,set,C,1188
15,3,set,B,1189
29,3,set,C,1190
6,3,set,B,1191
3,3,set,C,1192
8,3,set,C,1193
4,3,set,C,1194
7,3,set,B,1195
4,3,set,B,1196
3,3,tie,,1197
6,3,set,A,1198
9,3,set,C,1199
16,3,set,B,1200
11,3,set,B,1201
5,3,set,B,1202
5,3,set,B,1203
2,3,set,B,1204
8,3,set,B,1205
13,3,set,B,1206
8,3,set,B,1207
12,3,set,A,1208
6,3,set,A,1209
13,3,set,B,1210
4,3,set,C,1211
6,3,set,B,1212
30,3,set,B,1213
7,3,set,A,1214
21,3,set,A,1215
8,3,set,A,1216
4,3,set,B,1217
12,3,tie,,1218
46,3,set,C,1219
12,3,set,B,1220
3,3,set,C,1221
12,3,set,B,1222
11,3,set,A,1223
1,3,tie,,1224
13,3,set,A,1225
20,3,set,C,1226
15,3,set,A,1227
19,3,set,C,1228
9,3,set,A,1229
7,3,set,B,1230
7,3,set,B,1231
2,3,set,A,1232
15,3,set,B,1233
12,3,set,B,1234
45,3,set,B,1235
9,3,set,C,1236
10,3,set,B,1237
16,3,set,C,1238
3,3,set,B,1239
15,3,set,A,1240
9,3,set,A,1241
13,3,set,A,1242
7,3,set,A,1243
5,3,set,C,1244
4,3,set,A,1245
5,3,set,C,1246
18,3,set,A,1247
24,3,set,A,1248
5,3,tie,,1249
5,3,set,C,1250
20,3,set,B,1251
1,3,tie,,1252
21,3,set,C,1253
6,3,set,A,1254
8,3,set,B,1255
9,3,set,B,1256
2,3,set,C,1257
14,3,tie,,1258
17,3,set,A,1259
8,3,set,A,1260
28,3,set,A,1261
6,3,set,B,1262
11,3,set,B,1263
8,3,set,B,1264
40,3,set,B,1265
17,3,set,A,1266
12,3,set,C,1267
6,3,set,C,1268
3,3,set,C,1269
4,3,set,A,1270
18,3,set,B,1271
11,3,set,C,1272
3,3,set,A,1273
